email,name,return_path,metadata,substitution_data,tags
anon79776110@sedemo.sink.sparkpostmail.com,Mary Frede,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 15370583}","{""memberType"": ""bronze"", ""state"": ""AZ""}","[""bacon"", ""gwen"", ""fuerte"", ""hass""]"
anon92594948@sedemo.sink.sparkpostmail.com,Ella Holder,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 94773979}","{""memberType"": ""platinum"", ""state"": ""MO""}","[""hass"", ""fuerte"", ""bacon"", ""gwen""]"
anon64568750@sedemo.sink.sparkpostmail.com,Jamey Osborne,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 56037783}","{""memberType"": ""silver"", ""state"": ""WA""}","[""bacon"", ""fuerte""]"
anon91124505@sedemo.sink.sparkpostmail.com,Carol Bubar,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 46516938}","{""memberType"": ""bronze"", ""state"": ""OK""}","[""fuerte"", ""bacon""]"
anon58334594@sedemo.sink.sparkpostmail.com,James Bell,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 65117152}","{""memberType"": ""gold"", ""state"": ""GU""}","[""reed"", ""gwen"", ""fuerte"", ""pinkerton"", ""bacon"", ""lamb hass"", ""hass""]"
anon90750937@sedemo.sink.sparkpostmail.com,Rosetta Hill,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 63161737}","{""memberType"": ""gold"", ""state"": ""MI""}","[""fuerte"", ""bacon""]"
anon55475635@sedemo.sink.sparkpostmail.com,Margie Wiker,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 82114180}","{""memberType"": ""silver"", ""state"": ""AS""}","[""hass"", ""bacon"", ""gwen"", ""fuerte""]"
anon93017722@sedemo.sink.sparkpostmail.com,Kimberly Golz,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 34799390}","{""memberType"": ""platinum"", ""state"": ""WI""}","[""gwen"", ""bacon"", ""fuerte""]"
anon54128373@sedemo.sink.sparkpostmail.com,Lela Cimino,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 50795345}","{""memberType"": ""platinum"", ""state"": ""VA""}","[""hass"", ""lamb hass"", ""bacon"", ""fuerte"", ""gwen""]"
anon27935747@sedemo.sink.sparkpostmail.com,Fatima Acker,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 66527196}","{""memberType"": ""bronze"", ""state"": ""VA""}","[""hass"", ""bacon"", ""fuerte"", ""gwen"", ""lamb hass""]"
anon28639091@sedemo.sink.sparkpostmail.com,Jessica Chamberlain,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 28972918}","{""memberType"": ""silver"", ""state"": ""OH""}","[""lamb hass"", ""gwen"", ""hass"", ""bacon"", ""fuerte""]"
anon04382359@sedemo.sink.sparkpostmail.com,Jamey Trawick,bounce@sedemo.sink.sparkpostmail.com,"{""custID"": 70508556}","{""memberType"": ""gold"", ""state"": ""NY""}","[""fuerte"", ""bacon""]"
